iter	Passed	Remaining
0	61	18509
1	71	10635
2	81	8105
3	87	6459
4	93	5527
5	99	4855
6	105	4401
7	107	3941
8	110	3588
9	115	3352
10	124	3278
11	127	3050
12	132	2928
13	138	2835
14	142	2699
15	154	2734
16	159	2661
17	166	2616
18	170	2526
19	175	2456
20	183	2441
21	187	2370
22	192	2319
23	200	2302
24	209	2302
25	221	2332
26	229	2315
27	238	2318
28	246	2301
29	250	2253
30	252	2189
31	254	2130
32	256	2077
33	258	2025
34	261	1976
35	263	1931
36	265	1885
37	267	1845
38	269	1806
39	272	1769
40	274	1732
41	276	1698
42	278	1664
43	280	1631
44	282	1600
45	284	1569
46	286	1539
47	288	1513
48	290	1487
49	292	1462
50	294	1438
51	296	1414
52	298	1391
53	300	1368
54	302	1347
55	304	1326
56	306	1306
57	308	1286
58	310	1269
59	312	1251
60	314	1233
61	316	1215
62	318	1198
63	320	1181
64	322	1165
65	324	1149
66	326	1134
67	328	1119
68	330	1105
69	332	1091
70	334	1077
71	335	1063
72	338	1051
73	340	1040
74	342	1027
75	344	1016
76	346	1004
77	348	992
78	350	980
79	352	969
80	354	958
81	356	947
82	358	936
83	360	926
84	362	916
85	364	906
86	366	896
87	368	887
88	370	878
89	372	869
90	374	859
91	376	851
92	378	842
93	380	833
94	382	824
95	384	816
96	386	808
97	388	800
98	390	792
99	392	784
100	394	776
101	396	768
102	398	761
103	400	754
104	402	747
105	404	740
106	406	732
107	408	725
108	410	718
109	412	711
110	414	705
111	416	698
112	418	691
113	420	685
114	422	679
115	424	672
116	425	666
117	427	659
118	429	653
119	431	647
120	433	641
121	435	635
122	437	629
123	439	624
124	442	619
125	444	614
126	447	609
127	449	603
128	451	598
129	453	593
130	455	587
131	457	582
132	459	576
133	461	571
134	462	565
135	465	560
136	467	555
137	469	551
138	471	546
139	473	541
140	475	536
141	477	531
142	479	526
143	481	521
144	483	516
145	485	512
146	487	507
147	489	502
148	491	498
149	493	493
150	495	489
151	498	484
152	500	480
153	502	476
154	504	472
155	506	467
156	509	463
157	511	459
158	514	455
159	516	451
160	518	447
161	520	443
162	522	439
163	524	434
164	526	431
165	528	426
166	531	423
167	533	419
168	535	415
169	537	411
170	540	407
171	542	403
172	544	400
173	547	396
174	549	392
175	551	388
176	553	384
177	555	380
178	557	377
179	560	373
180	562	369
181	563	365
182	565	361
183	567	357
184	568	353
185	570	349
186	572	346
187	574	342
188	576	338
189	578	334
190	580	331
191	583	328
192	586	325
193	588	321
194	591	318
195	594	315
196	596	311
197	598	308
198	601	305
199	603	301
200	606	298
201	609	295
202	611	292
203	613	288
204	615	285
205	617	281
206	620	278
207	622	275
208	624	271
209	627	268
210	629	265
211	631	262
212	633	258
213	635	255
214	638	252
215	640	248
216	642	245
217	644	242
218	646	239
219	648	235
220	650	232
221	653	229
222	655	226
223	657	222
224	659	219
225	661	216
226	664	213
227	666	210
228	668	207
229	670	204
230	672	200
231	674	197
232	677	194
233	679	191
234	681	188
235	683	185
236	686	182
237	688	179
238	689	176
239	692	173
240	694	169
241	695	166
242	697	163
243	699	160
244	701	157
245	703	154
246	705	151
247	708	148
248	710	145
249	712	142
250	714	139
251	716	136
252	719	133
253	720	130
254	722	127
255	724	124
256	727	121
257	729	118
258	731	115
259	733	112
260	735	109
261	736	106
262	738	103
263	740	100
264	742	98
265	744	95
266	745	92
267	747	89
268	749	86
269	751	83
270	753	80
271	754	77
272	756	74
273	758	71
274	759	69
275	761	66
276	763	63
277	765	60
278	766	57
279	768	54
280	770	52
281	771	49
282	773	46
283	774	43
284	776	40
285	778	38
286	779	35
287	781	32
288	783	29
289	784	27
290	786	24
291	788	21
292	789	18
293	791	16
294	793	13
295	794	10
296	796	8
297	798	5
298	800	2
299	801	0
