value_eth,is_new_recipient,interaction_count,gas_gwei,blacklist_hit,repeat_tx,label,txhash,blockNumber,from,to
1e-05,0,0,9.339381797,0,0,0,0x9b6e9391b1f1dad3a1d8ebf1bd11479dcbde1ef76b7c61d87b1d757438861c32,15217646,0x9abdfa2284a97ed6a486ec3b129b1aef28fa801c,0x001866ae5b3de6caa5a51543fd9fb64f524f5478
12.0,1,0,12.871276791,0,0,0,0x50bfba93fc6c06429e9255d94ad6197100629cba953bab27f64662bf99fd77aa,15145601,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x28c6c06298d514db089934071355e5743bf21d60
1100.0,0,1,15.63206454,0,1,0,0xbeb79215a8d14dedf1f9f6e89ea071442c10d13cc0badeed4845d2a76bf40957,15139582,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x28c6c06298d514db089934071355e5743bf21d60
1.0,0,2,15.63206454,0,1,0,0x7fca993597f58e49507ad2d2bab341d13c5ba7e5978fe327a27c1458701f8982,15139145,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x28c6c06298d514db089934071355e5743bf21d60
1e-05,0,0,9.783065739,0,0,0,0xdc9a3b4e67199ae479313b6389988390792749127d1b10376445c951c3181329,15132578,0xdb0a250cdd31a5ab7f32bfaec925e04cc18492f5,0x001866ae5b3de6caa5a51543fd9fb64f524f5478
1.0,1,0,10.0,0,0,0,0x57fbdc4b734ed26b8ace818a470bc3d49ebfe184580647e46e99c0cc32f08cc2,7277260,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x62b2f9809f65525b0110f540b72f01154374bae9
0.01,0,0,10.0,0,0,0,0x5d39a338c0341c5da7fa9a7efe6843986f03f24fa29c5bb387b708605fae5c28,5751496,0x00fe848d55d0a8bf20f876c9e2a4e7b8e2e5bcad,0x001866ae5b3de6caa5a51543fd9fb64f524f5478
100.0,0,0,100.0,0,0,0,0x6eba4079aca58b32743198c2d4566c2c230f15b11bd3d3e7678d941f89fbc53c,4911979,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0x001866ae5b3de6caa5a51543fd9fb64f524f5478
0.1,0,0,100.0,0,0,0,0xba15ec4c74ae1b024146c14ad958448e62d41a03c8f3da99b33a610cc2f4fc33,4872265,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x001866ae5b3de6caa5a51543fd9fb64f524f5478
0.1,1,0,30.01,0,0,0,0x342145a64e66dbdac58a6cf7b7daf484fd8b170088a655c92e4d2afa7717aa61,4724363,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x0c20e4754b86bdf081173f35d8f2f2e03caf1972
0.09,0,0,25.0,0,0,0,0x5300021f5c8f50f6564fe52b2c122e7ccd06d552e9d657bd1a21478dac50d9f2,4719609,0x15ab2321d7e83d00c015048b567f4f6aadc1b022,0x001866ae5b3de6caa5a51543fd9fb64f524f5478
0.1,1,0,55.0,0,0,0,0x544a1092b40658da44cf3ef6269df7c607ce7013c98fd7b1e9c1d8ac923ebeea,4719593,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x15ab2321d7e83d00c015048b567f4f6aadc1b022
0.01,1,0,60.0,0,0,0,0xed3b278413ed5e2cf9b8c75914a46b7f8d098aa6c54227c97e44aba9bfe08e82,4696604,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x9d66d75b46816d306572446f62305f72c4f6d2fd
0.2,0,0,10.0,0,0,0,0x232a0803a906fa7bba49d68d4cd6b7c1f3d63637a3d0df1f79514eb543b467fa,4644401,0x00de52d69fe32975cf8b6615ab072ed9da0b483d,0x001866ae5b3de6caa5a51543fd9fb64f524f5478
0.1,1,0,10.0,0,0,0,0x20fa4600aabb660cec6fee7adbd3e50d9891af23a06d0bbbe2393aed577bae0d,4630485,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x0375a9491906dc2dcf948afe4b52359b360b85f8
0.1,0,1,18.0,0,1,0,0x8c14ad1f39f61444449211c13254c150416320fe87f1aae719a1ac45cdd9ead8,4630198,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x0375a9491906dc2dcf948afe4b52359b360b85f8
4.0,1,0,8.0,0,0,0,0x356fc2a459ba3f4a99f970d87918752362ff37682171862aec62adc1c76441c0,4561939,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x2deca0b68eda7d56fb29131116c16d0bd0acba65
0.001,0,0,5.91507456,0,0,0,0xa973799378b451c2767809caa429b33a5cd733b03ec539a3d8a61e3a7df24cd6,4543365,0xacf9b49b64d9c0faa724f7de6122399ea94a84fc,0x001866ae5b3de6caa5a51543fd9fb64f524f5478
0.01,0,1,5.91507456,0,1,0,0x3e219590dc93b2a06b244073abcd60e0d8698a5f937caabb119e99ee8174bbb1,4543054,0xacf9b49b64d9c0faa724f7de6122399ea94a84fc,0x001866ae5b3de6caa5a51543fd9fb64f524f5478
0.01,1,0,10.0,0,0,0,0x911f4f7ae7eaec77783726df7c5fcaa4ae720372cddb66d380e509d36313946e,4542669,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x003b6df53ab4e9385ae3af5c7bb2d82451afcaec
0.1,1,0,20.0,0,0,0,0x4358d674539d11306a80865e32d9b03e15030e4e8224bc775f9de675f151d68b,4518996,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x98563a3166ad2359890284d437ee8647f9ae8839
5.99500252,1,0,1.0,0,0,0,0x65d76f505053503d33c93c62afd6ac1f0540e8b49a335419e3504d73e12cff25,4499589,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x91b34ef681a22268bdb73e38bbf2dc9549660575
0.1,1,0,8.0,0,0,0,0xaff4d142bfb8c6dc9df83f8ecd94a2b855e912f84031f11bd52f8918184d3ae4,4498522,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0xff0f75e25d28d25c91e7e735604253cc4014a48e
2.0,1,0,6.0001,0,0,0,0xeb526e803035071bd8f9ca52f1d6e36cb8d1d72d2276ec0fe30fe412c3e6cb70,4457149,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x3dd07cf64741b91d26f8f3dbc12dec4d883fdd09
10.0,1,0,6.0,0,0,0,0x67f22abca1a432fc28f24c7c0cae6241dd6f472b7e0fe686af4e7b97c884d411,4455298,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0xae5977afe3327cb753b4db2ce78443a4e922d00c
1.92566564,1,0,13.0,0,0,0,0xda2885f0d4c430ef674c1414e47d572268b00b7d18db1765f089ba300871bdb8,4381986,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x795b76b49fcab7c98306ea525e053a85be35a513
0.01,1,0,8.0,0,0,0,0x11f9bc64d002dd46cdfc68f12166fc06962daec4d7ac413c9ddeb9475a5b123f,4381728,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x00d41f0c9a94edbfac0cc0b3b02bd1f14a5ee237
0.005,1,0,13.218630469,0,0,0,0x3a24ab186c053497354d34e30751fc6bd0906074ab2e23e4795c68225f4f4be8,4375625,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x0b95993a39a363d99280ac950f5e4536ab5c5566
0.495,0,0,21.0,0,0,0,0xdbdcd0ce6f08ec540b3ce96adbc3dbd55a721aea657943aca93e5b6bece98e65,4361744,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x001866ae5b3de6caa5a51543fd9fb64f524f5478
0.5,0,0,40.0,0,0,0,0x9dea30e930667d044c1dc95110aab4992a78d0eeb8c5714d6e60fd3c54687b4c,4361001,0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a,0x001866ae5b3de6caa5a51543fd9fb64f524f5478
2000.0,1,0,21.0,0,0,0,0x13ad0b1808781b687f13cb2bf3259052c015f1d0865c8e4b84f4b72e46012208,4355223,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be
0.007,1,0,30.0,0,0,0,0xe0f8338d8dc4d1a8f906220e317cff67d575742fe299499a0828c56fa33d48be,4287055,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0xf864f6c76f47d80acee5a22c7cabf4f73ffed0d2
2.36,0,1,25.0,0,1,0,0xa7fb26056fe4bdcb0619f44b4057901b0809bb63f3c76ca04b1b4242e9dbb5e3,4286956,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0xf864f6c76f47d80acee5a22c7cabf4f73ffed0d2
14.99958,1,0,25.0,0,0,0,0xae2974d512cd7afcff0657bd9a0fe91eeb5db1a26055183d360a20403d420e63,4272708,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x1f723f1f7a801a5ffc3ad73fa34f050a19876ff1
3.1,1,0,22.463230501,0,0,0,0xb335975fea6c86903c41dc67b52fac676eb208622f539de9aa23c1a9b4933c14,4268994,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0xa13fede3ddbb23623f9aa6e3d72cd445755c3958
0.989,1,0,52.31514469,0,0,0,0xca4d6674aead1dd0734022bf4787d648817ce6ee11011b03cc2deab3a78b5a40,4255536,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0xcc00e7a88207ce2f0c3be997bedf4ee2365ff70f
3.0,1,0,37.585215805,0,0,0,0x5fe1fe0512e7fa31a86b10f1416f95b14cd781b6400e72101895b19941b0b916,4250608,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,0x368c5aedde44d37842d059e366685f0d0fd7e459
